Name,Age,Height,Weight,Position,Apps,Total minutes,Scored goals,Assists,Total shots,Shots on goal,Duels total,Duels won,Dribble attempts,Dribbles succ.,Total duels,Total passes,Key passes,Tackles,Blocks,Interceptions,Total saves,Goals conceded,Fouls drawn,Fouls committed,Yellow cards,Red cards for 2nd yellow,Straight red cards,Penalties won,Penalties scored,Penalties missed,Penalties committed,Penalties saved
P. Stenzel,26,183 cm,74 kg,Midfielder,8.0,450.0,1.0,2.0,9.0,4.0,63.0,32.0,16.0,8.0,63.0,198.0,16.0,5.0,1.0,5.0,,0.0,15.0,7.0,1.0,0.0,0.0,,0.0,0.0,,
A. Aidonis,21,185 cm,85 kg,Midfielder,29.0,2529.0,5.0,2.0,28.0,9.0,271.0,150.0,26.0,20.0,271.0,1412.0,20.0,50.0,6.0,51.0,,0.0,34.0,50.0,5.0,0.0,1.0,,0.0,0.0,,
M. Kempf,27,186 cm,87 kg,Attacker,18.0,468.0,2.0,3.0,16.0,7.0,64.0,31.0,7.0,3.0,64.0,143.0,12.0,9.0,,6.0,,0.0,8.0,5.0,2.0,0.0,0.0,,0.0,0.0,,
D. Zeefuik,24,177 cm,76 kg,Goalkeeper,2.0,134.0,0.0,,,,,,,,,46.0,,,,,5.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
T. Coulibaly,21,178 cm,75 kg,Midfielder,32.0,2556.0,7.0,5.0,35.0,18.0,399.0,190.0,80.0,57.0,399.0,1172.0,49.0,38.0,2.0,21.0,,0.0,60.0,59.0,7.0,1.0,0.0,,3.0,1.0,,
I. Gruev,22,185 cm,72 kg,Midfielder,0.0,0.0,0.0,5.0,35.0,18.0,399.0,190.0,80.0,57.0,399.0,1172.0,49.0,38.0,2.0,21.0,,0.0,60.0,59.0,0.0,0.0,0.0,,3.0,1.0,,
N. Ahamada,20,183 cm,73 kg,Attacker,6.0,50.0,0.0,,4.0,1.0,18.0,10.0,,,18.0,17.0,1.0,4.0,,,,0.0,,4.0,0.0,0.0,0.0,,0.0,0.0,,
L. Egloff,20,182 cm,81 kg,Defender,6.0,379.0,0.0,,1.0,,50.0,32.0,,,50.0,212.0,1.0,14.0,1.0,13.0,,0.0,3.0,4.0,1.0,0.0,0.0,,0.0,0.0,,
M. Dárdai,20,188 cm,77 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
R. Fährmann,34,197 cm,98 kg,Midfielder,24.0,1021.0,2.0,4.0,8.0,4.0,94.0,32.0,10.0,3.0,94.0,315.0,12.0,12.0,1.0,9.0,,0.0,8.0,15.0,1.0,0.0,0.0,,0.0,0.0,,
M. Langer,37,195 cm,93 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
M. Kamiński,30,192 cm,84 kg,Attacker,32.0,2394.0,4.0,10.0,39.0,25.0,237.0,88.0,116.0,57.0,237.0,804.0,44.0,10.0,,12.0,,0.0,16.0,25.0,5.0,0.0,0.0,,0.0,0.0,,
J. Horn,25,186 cm,79 kg,Midfielder,33.0,2673.0,6.0,4.0,31.0,16.0,454.0,221.0,88.0,61.0,454.0,978.0,51.0,70.0,6.0,38.0,,0.0,60.0,35.0,5.0,0.0,0.0,,2.0,1.0,,
D. Drexler,32,183 cm,71 kg,Midfielder,17.0,1071.0,2.0,,6.0,4.0,127.0,84.0,6.0,6.0,127.0,644.0,5.0,43.0,,12.0,,0.0,13.0,11.0,1.0,0.0,0.0,,0.0,0.0,,
C. Brunner,28,180 cm,75 kg,Attacker,22.0,789.0,0.0,,24.0,8.0,119.0,46.0,43.0,26.0,119.0,332.0,16.0,12.0,,12.0,,0.0,6.0,23.0,2.0,0.0,0.0,,0.0,0.0,,
P. Förster,27,188 cm,82 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0
M. Bülter,29,188 cm,85 kg,Defender,18.0,1564.0,1.0,1.0,6.0,2.0,149.0,77.0,17.0,8.0,149.0,648.0,16.0,37.0,5.0,22.0,,0.0,11.0,11.0,2.0,0.0,0.0,,0.0,0.0,,
K. Stafylidis,29,178 cm,74 kg,Defender,15.0,883.0,0.0,,,,117.0,60.0,22.0,14.0,117.0,300.0,12.0,25.0,3.0,15.0,,0.0,14.0,15.0,1.0,0.0,0.0,,0.0,0.0,,
D. Selke,27,195 cm,84 kg,Goalkeeper,34.0,3060.0,0.0,,,,17.0,13.0,1.0,1.0,17.0,1170.0,,,,3.0,129.0,54.0,3.0,,3.0,0.0,0.0,,0.0,0.0,,2.0
K. Stöger,29,175 cm,74 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
D. Latza,33,179 cm,73 kg,Defender,21.0,1546.0,0.0,1.0,1.0,1.0,155.0,84.0,21.0,9.0,155.0,517.0,11.0,42.0,2.0,36.0,,0.0,12.0,13.0,5.0,1.0,0.0,,0.0,0.0,,
J. Boëtius,28,178 cm,76 kg,Defender,32.0,2836.0,1.0,,6.0,3.0,215.0,108.0,19.0,13.0,215.0,1591.0,13.0,36.0,18.0,69.0,,0.0,7.0,26.0,9.0,0.0,0.0,,0.0,0.0,,
A. Schwolow,30,190 cm,84 kg,Defender,24.0,1347.0,0.0,,4.0,1.0,158.0,94.0,6.0,4.0,158.0,678.0,1.0,26.0,22.0,29.0,,0.0,13.0,14.0,2.0,0.0,0.0,,0.0,0.0,,
D. Heintz,29,188 cm,89 kg,Midfielder,29.0,2047.0,8.0,3.0,28.0,14.0,366.0,143.0,40.0,17.0,366.0,418.0,18.0,31.0,3.0,14.0,,0.0,27.0,33.0,4.0,0.0,0.0,,0.0,0.0,,
F. Flick,22,190 cm,79 kg,Midfielder,5.0,31.0,0.0,1.0,,,16.0,4.0,4.0,1.0,16.0,12.0,1.0,,,1.0,,0.0,1.0,2.0,1.0,0.0,0.0,,0.0,0.0,,
J. Ngankam,22,184 cm,84 kg,Midfielder,30.0,1833.0,5.0,2.0,18.0,11.0,252.0,127.0,26.0,13.0,252.0,576.0,26.0,53.0,7.0,26.0,,0.0,49.0,22.0,4.0,0.0,0.0,,0.0,0.0,,
H. Matriciani,22,187 cm,70 kg,Midfielder,29.0,1846.0,0.0,,5.0,1.0,166.0,76.0,12.0,9.0,166.0,799.0,14.0,21.0,8.0,28.0,,0.0,27.0,18.0,4.0,0.0,0.0,,0.0,0.0,,
K. Çalhanoğlu,20,180 cm,80 kg,Attacker,28.0,1745.0,5.0,4.0,34.0,18.0,213.0,93.0,24.0,16.0,213.0,311.0,13.0,7.0,3.0,10.0,,0.0,43.0,24.0,3.0,1.0,0.0,,0.0,0.0,,
M. Aydin,20,179 cm,68 kg,Attacker,30.0,1509.0,5.0,6.0,35.0,19.0,265.0,82.0,28.0,14.0,265.0,247.0,17.0,15.0,5.0,,,0.0,15.0,44.0,7.0,0.0,0.0,,0.0,0.0,,
S. Skrzybski,30,175 cm,70 kg,Attacker,1.0,3.0,0.0,,,,1.0,,,,1.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Krahl,22,194 cm,82 kg,Midfielder,29.0,2228.0,5.0,6.0,24.0,14.0,276.0,116.0,89.0,60.0,276.0,1004.0,48.0,35.0,1.0,9.0,,0.0,14.0,25.0,1.0,0.0,0.0,,0.0,0.0,,
M. Kiprit,23,184 cm,80 kg,Defender,9.0,272.0,0.0,,1.0,1.0,19.0,12.0,1.0,,19.0,246.0,1.0,2.0,2.0,6.0,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,
E. Durm,30,182 cm,70 kg,Midfielder,25.0,1958.0,1.0,3.0,20.0,10.0,300.0,155.0,63.0,39.0,300.0,599.0,15.0,55.0,4.0,23.0,,0.0,47.0,28.0,3.0,0.0,0.0,,0.0,0.0,,
P. Klement,30,175 cm,72 kg,Defender,21.0,1472.0,0.0,,13.0,4.0,185.0,114.0,14.0,9.0,185.0,964.0,5.0,42.0,10.0,59.0,,0.0,17.0,23.0,5.0,0.0,0.0,,0.0,0.0,,
J. Arp,22,184 cm,78 kg,Attacker,25.0,1930.0,11.0,4.0,36.0,19.0,311.0,151.0,86.0,48.0,311.0,425.0,23.0,48.0,1.0,22.0,,0.0,41.0,33.0,6.0,0.0,0.0,,3.0,0.0,,
R. Glatzel,28,193 cm,85 kg,Defender,19.0,1030.0,0.0,,1.0,1.0,132.0,74.0,7.0,7.0,132.0,701.0,2.0,21.0,8.0,22.0,,0.0,16.0,15.0,3.0,0.0,0.0,,0.0,0.0,,
A. Luthe,35,197 cm,85 kg,Goalkeeper,8.0,720.0,0.0,,,,3.0,2.0,,,3.0,255.0,,,,,21.0,13.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0
F. Klaus,30,179 cm,79 kg,Defender,27.0,1802.0,0.0,2.0,12.0,5.0,235.0,131.0,35.0,19.0,235.0,889.0,23.0,66.0,5.0,54.0,,0.0,19.0,24.0,3.0,0.0,0.0,,0.0,0.0,,
D. Ginczek,31,191 cm,85 kg,Defender,16.0,1071.0,0.0,2.0,2.0,,59.0,34.0,8.0,4.0,59.0,519.0,10.0,15.0,1.0,1.0,,0.0,7.0,10.0,1.0,0.0,0.0,,0.0,0.0,,
F. Kunze,24,190 cm,76 kg,Midfielder,27.0,1915.0,1.0,6.0,19.0,7.0,216.0,105.0,33.0,20.0,216.0,921.0,34.0,34.0,2.0,27.0,,0.0,27.0,27.0,5.0,0.0,1.0,,0.0,0.0,,
P. Erras,27,196 cm,87 kg,Defender,31.0,2712.0,0.0,1.0,10.0,4.0,234.0,127.0,17.0,13.0,234.0,2043.0,9.0,31.0,18.0,49.0,,0.0,34.0,24.0,3.0,0.0,0.0,,0.0,0.0,,
K. Bennetts,23,179 cm,78 kg,Goalkeeper,1.0,90.0,0.0,,,,1.0,1.0,,,1.0,33.0,,,,,8.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,,3.0
R. Zieler,33,188 cm,81 kg,Defender,23.0,1274.0,0.0,1.0,2.0,1.0,118.0,55.0,9.0,6.0,118.0,984.0,4.0,33.0,4.0,26.0,,0.0,5.0,20.0,2.0,1.0,0.0,,0.0,0.0,,
T. Becker,25,186 cm,81 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
T. Schreiber,20,191 cm,87 kg,Defender,32.0,2734.0,2.0,1.0,16.0,6.0,320.0,198.0,22.0,18.0,320.0,1810.0,10.0,49.0,25.0,68.0,,0.0,38.0,34.0,5.0,0.0,0.0,,0.0,0.0,,
M. Beier,20,183 cm,64 kg,Defender,22.0,903.0,1.0,,3.0,2.0,150.0,76.0,29.0,9.0,150.0,372.0,12.0,13.0,3.0,12.0,,0.0,18.0,19.0,3.0,1.0,0.0,,0.0,0.0,,
B. Arrey-Mbi,19,187 cm,80 kg,Midfielder,31.0,1508.0,2.0,1.0,16.0,9.0,259.0,110.0,79.0,50.0,259.0,418.0,15.0,26.0,,10.0,,0.0,18.0,32.0,2.0,0.0,0.0,,0.0,0.0,,
T. Siersleben,22,,,Midfielder,1.0,0.0,0.0,,,,1.0,,,,1.0,,,,,,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
M. Obuz,20,182 cm,75 kg,Midfielder,6.0,253.0,0.0,,5.0,1.0,37.0,24.0,12.0,11.0,37.0,125.0,1.0,4.0,,1.0,,0.0,9.0,6.0,2.0,0.0,1.0,,0.0,0.0,,
R. Hoffmann,23,192 cm,84 kg,Midfielder,2.0,14.0,0.0,,,,2.0,,,,2.0,5.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
S. Singh,23,175 cm,71 kg,Defender,12.0,820.0,0.0,1.0,2.0,,58.0,26.0,2.0,,58.0,489.0,4.0,17.0,3.0,16.0,,0.0,4.0,10.0,0.0,0.0,0.0,,0.0,0.0,,
N. De Medina,25,183 cm,80 kg,Goalkeeper,22.0,1878.0,0.0,,1.0,,13.0,11.0,,,13.0,702.0,2.0,2.0,,1.0,97.0,50.0,2.0,,2.0,0.0,0.0,,0.0,0.0,,0.0
J. Mees,26,180 cm,70 kg,Goalkeeper,3.0,238.0,0.0,,,,,,,,,69.0,,,,,13.0,10.0,,,0.0,0.0,0.0,,0.0,0.0,,1.0
S. Griesbeck,32,189 cm,85 kg,Defender,5.0,218.0,0.0,,,,15.0,8.0,,,15.0,210.0,2.0,1.0,1.0,1.0,,0.0,,2.0,0.0,0.0,0.0,,0.0,0.0,,
B. Behrendt,31,187 cm,85 kg,Defender,29.0,1767.0,0.0,1.0,3.0,1.0,144.0,88.0,16.0,8.0,144.0,768.0,13.0,35.0,2.0,10.0,,0.0,22.0,15.0,6.0,0.0,0.0,,0.0,0.0,,
Anderson Lucoqui,25,180 cm,75 kg,Midfielder,27.0,1228.0,2.0,1.0,10.0,3.0,168.0,80.0,19.0,8.0,168.0,525.0,17.0,39.0,2.0,14.0,,0.0,23.0,23.0,1.0,0.0,0.0,,0.0,0.0,,
N. Seufert,25,182 cm,73 kg,Defender,31.0,2660.0,0.0,1.0,5.0,1.0,238.0,141.0,31.0,23.0,238.0,1100.0,16.0,42.0,10.0,42.0,,0.0,30.0,33.0,6.0,0.0,0.0,,0.0,0.0,,
S. Asta,21,178 cm,75 kg,Midfielder,25.0,1516.0,3.0,1.0,15.0,11.0,149.0,60.0,29.0,13.0,149.0,656.0,29.0,22.0,1.0,14.0,,0.0,21.0,25.0,4.0,0.0,0.0,,0.0,1.0,,
L. Itter,23,183 cm,74 kg,Attacker,26.0,966.0,1.0,,13.0,6.0,125.0,52.0,27.0,10.0,125.0,259.0,12.0,15.0,2.0,12.0,,0.0,15.0,12.0,1.0,0.0,0.0,,0.0,0.0,,
A. Ujah,32,180 cm,81 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
N. Körber,26,189 cm,83 kg,Attacker,23.0,801.0,3.0,,23.0,13.0,215.0,96.0,11.0,2.0,215.0,202.0,8.0,3.0,2.0,1.0,,0.0,27.0,21.0,4.0,0.0,0.0,,1.0,0.0,,
K. Endo,25,175 cm,66 kg,Midfielder,19.0,528.0,3.0,,7.0,4.0,70.0,36.0,5.0,5.0,70.0,336.0,11.0,12.0,,6.0,,0.0,17.0,13.0,3.0,0.0,0.0,,0.0,0.0,,
B. Idrizi,24,179 cm,73 kg,Midfielder,29.0,1805.0,0.0,2.0,16.0,10.0,255.0,117.0,23.0,17.0,255.0,696.0,25.0,43.0,3.0,27.0,,0.0,29.0,32.0,8.0,0.0,0.0,,0.0,0.0,,
T. Raschl,22,177 cm,75 kg,Midfielder,31.0,2072.0,2.0,4.0,20.0,10.0,255.0,122.0,41.0,26.0,255.0,767.0,34.0,42.0,3.0,33.0,,0.0,38.0,28.0,5.0,0.0,0.0,,0.0,0.0,,
M. John,20,184 cm,73 kg,Goalkeeper,26.0,2340.0,0.0,,,,9.0,9.0,1.0,1.0,9.0,788.0,,,,,69.0,39.0,4.0,,0.0,0.0,0.0,,0.0,0.0,,1.0
P. Nebel,20,169 cm,66 kg,Defender,21.0,1365.0,0.0,,2.0,1.0,105.0,57.0,6.0,4.0,105.0,954.0,3.0,23.0,8.0,35.0,,0.0,6.0,16.0,3.0,0.0,0.0,,0.0,0.0,,
O. Schönfelder,21,,,Midfielder,4.0,360.0,1.0,,1.0,1.0,38.0,14.0,3.0,,38.0,94.0,,10.0,3.0,7.0,,0.0,2.0,4.0,1.0,0.0,0.0,,0.0,0.0,,
A. Sieb,19,180 cm,70 kg,Attacker,15.0,289.0,2.0,,6.0,4.0,54.0,19.0,10.0,4.0,54.0,47.0,2.0,5.0,1.0,,,0.0,6.0,9.0,1.0,0.0,0.0,,0.0,0.0,,
S. Raebiger,17,176 cm,70 kg,Defender,1.0,23.0,0.0,,,,1.0,1.0,,,1.0,5.0,,1.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
B. Oczipka,33,185 cm,85 kg,Midfielder,4.0,298.0,0.0,,1.0,1.0,28.0,12.0,12.0,6.0,28.0,110.0,,3.0,,7.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
A. Kutucu,22,181 cm,76 kg,Midfielder,6.0,501.0,0.0,,1.0,,71.0,36.0,6.0,2.0,71.0,147.0,1.0,15.0,1.0,6.0,,0.0,6.0,9.0,0.0,0.0,0.0,,0.0,0.0,,
M. Klimowicz,22,179 cm,75 kg,Attacker,13.0,412.0,0.0,,5.0,2.0,54.0,28.0,6.0,3.0,54.0,98.0,2.0,5.0,1.0,5.0,,0.0,15.0,4.0,2.0,0.0,0.0,,0.0,1.0,,
C. Gebauer,29,187 cm,74 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
F. Hübner,31,193 cm,84 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
M. Hartel,26,177 cm,68 kg,Defender,21.0,1492.0,1.0,2.0,12.0,6.0,125.0,63.0,21.0,11.0,125.0,531.0,14.0,17.0,5.0,29.0,,0.0,14.0,9.0,1.0,0.0,0.0,,0.0,0.0,,
M. Okugawa,26,177 cm,68 kg,Midfielder,18.0,408.0,1.0,2.0,4.0,3.0,48.0,19.0,9.0,6.0,48.0,318.0,18.0,7.0,2.0,6.0,,0.0,2.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
S. Kapino,28,196 cm,88 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. Eggestein,24,183 cm,75 kg,Attacker,13.0,352.0,2.0,,11.0,7.0,93.0,32.0,15.0,8.0,93.0,130.0,2.0,1.0,,,,0.0,7.0,15.0,0.0,0.0,0.0,,0.0,0.0,,
L. Klünter,26,184 cm,76 kg,Goalkeeper,31.0,2769.0,0.0,,,,19.0,16.0,1.0,1.0,19.0,1032.0,,1.0,,,90.0,42.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,,2.0
P. Köpke,27,176 cm,75 kg,Midfielder,6.0,133.0,0.0,,1.0,,21.0,11.0,1.0,,21.0,59.0,,7.0,,2.0,,0.0,,2.0,0.0,0.0,0.0,,0.0,0.0,,
F. Kath,28,186 cm,76 kg,Attacker,11.0,206.0,0.0,,2.0,,45.0,19.0,5.0,3.0,45.0,68.0,3.0,2.0,,1.0,,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
N. Rehnen,25,191 cm,82 kg,Midfielder,26.0,1259.0,0.0,,4.0,1.0,206.0,111.0,17.0,7.0,206.0,572.0,6.0,38.0,3.0,18.0,,0.0,25.0,36.0,6.0,0.0,0.0,,0.0,0.0,,
L. Tempelmann,23,175 cm,72 kg,Midfielder,4.0,23.0,0.0,,,,12.0,7.0,,,12.0,31.0,1.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
G. Reyna,20,185 cm,79 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. Rieckmann,22,186 cm,80 kg,Goalkeeper,1.0,50.0,0.0,,,,,,,,,19.0,,,,,2.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0
C. Boukhalfa,23,185 cm,,Defender,20.0,1641.0,0.0,,4.0,1.0,148.0,77.0,29.0,15.0,148.0,666.0,3.0,34.0,4.0,22.0,,0.0,9.0,9.0,1.0,0.0,0.0,,0.0,0.0,,
L. Schuler,23,190 cm,85 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
S. Ahlers,25,194 cm,84 kg,Attacker,3.0,7.0,0.0,,,,3.0,1.0,,,3.0,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
M. Papela,21,174 cm,70 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
M. Nastasić,29,188 cm,83 kg,Defender,1.0,33.0,0.0,,1.0,,4.0,3.0,,,4.0,24.0,,2.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
W. McKennie,24,185 cm,84 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Kluivert,23,171 cm,67 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1.0
M. Pongračić,25,190 cm,95 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
F. Kostić,30,184 cm,84 kg,Defender,16.0,635.0,0.0,1.0,,,77.0,29.0,11.0,5.0,77.0,221.0,3.0,16.0,2.0,11.0,,0.0,4.0,10.0,5.0,0.0,1.0,,0.0,0.0,,
L. Jović,25,182 cm,85 kg,Midfielder,1.0,4.0,0.0,,,,9.0,5.0,,,9.0,24.0,,,,1.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
N. Radonjić,26,185 cm,77 kg,Midfielder,24.0,880.0,0.0,,3.0,1.0,100.0,43.0,4.0,1.0,100.0,226.0,,20.0,3.0,5.0,,0.0,7.0,16.0,3.0,0.0,0.0,,0.0,0.0,,
O. Alderete,26,188 cm,77 kg,Defender,3.0,77.0,0.0,,2.0,,7.0,2.0,,,7.0,44.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
A. Sørloth,27,195 cm,90 kg,Defender,21.0,1607.0,0.0,,6.0,1.0,214.0,116.0,22.0,12.0,214.0,537.0,6.0,40.0,7.0,27.0,,0.0,39.0,27.0,5.0,0.0,0.0,,0.0,0.0,,
M. Prietl,31,187 cm,79 kg,Midfielder,13.0,334.0,0.0,1.0,1.0,,49.0,27.0,5.0,4.0,49.0,171.0,5.0,12.0,1.0,5.0,,0.0,7.0,8.0,1.0,0.0,0.0,,0.0,0.0,,
F. Klos,35,195 cm,93 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
M. Rashica,26,177 cm,73 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
V. Lazaro,26,180 cm,75 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
S. Ascacíbar,25,168 cm,70 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
K. Ehizibue,27,189 cm,78 kg,Midfielder,16.0,447.0,1.0,,6.0,3.0,66.0,31.0,12.0,5.0,66.0,102.0,7.0,8.0,2.0,6.0,,0.0,13.0,9.0,0.0,0.0,0.0,,0.0,0.0,,
S. Becker,27,180 cm,77 kg,Midfielder,3.0,241.0,1.0,,3.0,1.0,36.0,17.0,6.0,4.0,36.0,69.0,1.0,8.0,2.0,3.0,,0.0,1.0,3.0,1.0,0.0,0.0,,0.0,0.0,,
J. Zirkzee,21,193 cm,84 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Consbruch,20,174 cm,62 kg,Midfielder,14.0,999.0,0.0,,2.0,,128.0,58.0,36.0,15.0,128.0,406.0,10.0,21.0,1.0,16.0,,0.0,14.0,5.0,1.0,0.0,0.0,,0.0,0.0,,
M. Thiaw,21,191 cm,80 kg,Midfielder,4.0,47.0,0.0,,,,8.0,3.0,2.0,1.0,8.0,27.0,,1.0,,2.0,,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
L. Samardžić,20,177 cm,70 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Omar Mascarell,29,181 cm,76 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Gonçalo Paciência,28,184 cm,81 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
M. Höger,33,182 cm,83 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
A. Gogia,30,178 cm,72 kg,Defender,27.0,1918.0,0.0,2.0,4.0,,158.0,73.0,26.0,9.0,158.0,862.0,24.0,33.0,4.0,24.0,,0.0,15.0,14.0,1.0,0.0,0.0,,0.0,0.0,,
T. Rieder,29,186 cm,81 kg,Attacker,7.0,101.0,0.0,,,,18.0,7.0,5.0,3.0,18.0,32.0,1.0,1.0,,,,0.0,1.0,2.0,1.0,0.0,0.0,,0.0,0.0,,
K. Rekik,28,186 cm,84 kg,Midfielder,25.0,1195.0,1.0,1.0,21.0,10.0,139.0,63.0,38.0,22.0,139.0,310.0,16.0,20.0,1.0,2.0,,0.0,17.0,14.0,1.0,0.0,0.0,,0.0,0.0,,
B. Uphoff,29,192 cm,84 kg,Midfielder,23.0,674.0,1.0,1.0,8.0,4.0,68.0,28.0,6.0,2.0,68.0,166.0,11.0,9.0,1.0,6.0,,0.0,9.0,7.0,0.0,0.0,0.0,,0.0,0.0,,
L. Kübler,30,182 cm,74 kg,Defender,6.0,526.0,0.0,,2.0,1.0,67.0,38.0,1.0,1.0,67.0,249.0,1.0,10.0,3.0,13.0,,0.0,8.0,10.0,3.0,0.0,0.0,,0.0,0.0,,
R. Sallai,25,183 cm,75 kg,Midfielder,22.0,1692.0,0.0,,17.0,6.0,145.0,77.0,25.0,17.0,145.0,717.0,15.0,34.0,4.0,26.0,,0.0,15.0,5.0,1.0,0.0,0.0,,0.0,0.0,,
L. Höler,28,184 cm,83 kg,Midfielder,0.0,0.0,0.0,,9.0,4.0,83.0,44.0,12.0,8.0,83.0,138.0,4.0,17.0,2.0,8.0,,0.0,9.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
S. Russo,22,184 cm,78 kg,Midfielder,13.0,921.0,1.0,,9.0,4.0,83.0,44.0,12.0,8.0,83.0,138.0,4.0,17.0,2.0,8.0,,0.0,9.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
D. Ontužāns,22,183 cm,75 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1.0
T. Nianzou,20,187 cm,83 kg,Attacker,2.0,31.0,0.0,,,,2.0,,,,2.0,15.0,1.0,,,1.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
N. Woltemade,20,198 cm,75 kg,Defender,11.0,990.0,0.0,,,,59.0,36.0,10.0,7.0,59.0,485.0,3.0,10.0,1.0,11.0,,0.0,9.0,4.0,0.0,0.0,0.0,,0.0,0.0,,
D. Borkowski,20,184 cm,74 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
S. Drljača,23,192 cm,92 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
M. Winkler,20,183 cm,70 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
T. Civeja,20,180 cm,74 kg,Midfielder,10.0,263.0,0.0,,3.0,,38.0,19.0,1.0,1.0,38.0,141.0,1.0,5.0,1.0,1.0,,0.0,7.0,4.0,2.0,0.0,0.0,,0.0,0.0,,
